Unnamed: 0,PROVINSI,Luas_Perkebunan_Sawit,Produksi_Sawit,Total_Deforestasi,Produktivitas_Sawit,Intensitas_Deforestasi,Produksi_per_Deforestasi,Kategori_Deforestasi,Pulau,Ada_Perkebunan_Sawit,Ada_Produksi_Sawit,Ada_Deforestasi,Deforestasi_Tinggi_Tanpa_Perkebunan,Deforestasi_Score,Luas_Perkebunan_Score,Produksi_Score,Rank_Deforestasi,Rank_Luas_Perkebunan,Rank_Produksi,Rank_Produktivitas
15,KALIMANTAN UTARA,201806.0,62564,5256.2,0.3100205147517913,0.026045806368492512,11.902895628020243,Tinggi,KALIMANTAN,1,1,1,0,17.847961313174427,8.700889723597594,7.3836465517648335,14,12,12,12
16,KEPULAUAN BANGKA BELITUNG,199606.0,88892,5664.1,0.44533731450958386,0.028376401510976625,15.693931957416005,Tinggi,SUMATERA,1,1,1,0,19.218735822615933,8.606036461593915,10.49081115784604,13,13,10,2
17,KEPULAUAN RIAU,6427.0,2355,381.4,0.3664229033763809,0.05934339505212385,6.174619821709491,Rendah,SUMATERA,1,1,1,0,1.4658785021289182,0.2771008704080242,0.27793120052116527,26,25,21,7
18,LAMPUNG,178819.0,45974,213.2,0.25709795938910296,0.001192267040974393,215.6378986866792,Rendah,SUMATERA,1,1,1,0,0.9006314501846631,7.709802481016413,5.425736311150764,27,14,14,17
19,MALUKU,9769.0,2083,666.5,0.21322550926399836,0.06822602108711229,3.1252813203300827,Sedang,MALUKU & PAPUA,1,1,1,0,2.423975615739543,0.42119159841543313,0.24583044190470796,25,24,23,19
20,MALUKU UTARA,5695.0,2352,1357.9,0.4129938542581212,0.23843722563652328,1.7320863097429853,Sedang,MALUKU & PAPUA,1,1,1,0,4.747470334611469,0.24554060323225424,0.2775771480364249,22,26,22,5
21,NUSA TENGGARA BARAT,0.0,0,2139.1,0.0,0.0,0.0,Sedang,BALI & NUSA TENGGARA,0,0,1,0,7.372743800597509,0.0,0.0,20,27,27,27
22,NUSA TENGGARA TIMUR,0.0,0,1120.0,0.0,0.0,0.0,Sedang,BALI & NUSA TENGGARA,0,0,1,0,3.947991894316949,0.0,0.0,23,27,27,27
23,PAPUA,125311.0,63481,6114.8,0.5065876100262546,0.04879699308121394,10.38153332897233,Tinggi,MALUKU & PAPUA,1,1,1,0,20.73334251887798,5.402798688610537,7.491868594600463,11,15,11,1
24,PAPUA BARAT,57767.0,8153,4125.3,0.14113594266622811,0.07141274430037911,1.9763411145856058,Tinggi,MALUKU & PAPUA,1,1,1,0,14.047498227301906,2.490631084621182,0.9621966360293249,17,18,18,20
25,RIAU,2319372.0,93676,29702.1,0.040388518961167075,0.012806095787997785,3.15385107450315,Sangat Tinggi,SUMATERA,1,1,1,0,100.0,100.0,11.055406853511965,1,1,9,22
26,SULAWESI BARAT,109306.0,38545,6824.3,0.352633890179862,0.06243298629535433,5.648198350013921,Sangat Tinggi,SULAWESI,1,1,1,0,23.117663466288494,4.712741207533764,4.548984341438775,9,17,16,10
27,SULAWESI SELATAN,31690.0,1330,5809.6,0.04196907541811297,0.18332597033764594,0.228931423850179,Tinggi,SULAWESI,1,1,1,0,19.707698046503506,1.3663181240439222,0.15696326823488313,12,20,24,21
28,SULAWESI TENGAH,122779.0,44546,4871.2,0.36281448781957826,0.03967453717655299,9.144769256035474,Tinggi,SULAWESI,1,1,1,0,16.55414374481213,5.29363120706812,5.257207328414364,16,16,15,8
29,SULAWESI TENGGARA,51096.0,745,7925.9,0.014580397682793173,0.1551178174416784,0.0939956345651598,Sangat Tinggi,SULAWESI,1,1,1,0,26.819661994360974,2.2030101251545675,0.08792303371051724,7,19,25,26
30,SULAWESI UTARA,0.0,0,103.8,0.0,0.0,0.0,Rendah,SULAWESI,0,0,1,0,0.5329856268630133,0.0,0.0,30,27,27,27
31,SUMATERA BARAT,364078.0,14034,6634.2,0.03854668505100555,0.018221919478793005,2.1154020077778783,Tinggi,SUMATERA,1,1,1,0,22.478820038377656,15.697266328989054,1.6562575236153008,10,9,17,23
32,SUMATERA SELATAN,996511.0,395137,4027.1,0.39652045988453716,0.004041199745913492,98.11949045218644,Sedang,SUMATERA,1,1,1,0,13.717490733241704,42.96469044206794,46.633078887614296,19,6,3,6
33,SUMATERA UTARA,1138864.0,505715,7034.9,0.44405214318829994,0.0061771203585327126,71.88659398143542,Sangat Tinggi,SUMATERA,1,1,1,0,23.825398479008232,49.102256990254254,59.68321744015333,8,5,2,3
