Unnamed: 0,PROVINSI,Luas_Perkebunan_Rakyat,Luas_Perkebunan_Negara,Luas_Perkebunan_Swasta,Produksi_Sawit,Produktivitas_Sawit,Produktivitas_Rakyat_per_Ha,Produktivitas_Negara_per_Ha,Produktivitas_Swasta_per_Ha,Intensitas_Deforestasi,Produksi_per_Deforestasi,Proporsi_Luas_Perkebunan_Rakyat%,Proporsi_Luas_Perkebunan_Negara%,Proporsi_Luas_Perkebunan_Swasta%,Status_Dominan,Kategori_Deforestasi,Kategori_Luas,Kategori_Produktivitas,Pulau,Ada_Perkebunan,Ada_Produksi,Ada_Deforestasi,Deforestasi_Tinggi_Produktif,Rakyat_Dominan,Swasta_Dominan,Deforestasi_Score,Luas_Score,Produksi_Score,Produktivitas_Score,Impact_Score,Rank_Deforestasi,Rank_Luas,Rank_Produksi,Rank_Produktivitas,Deforestasi_x_Luas_Perkebunan_Rakyat,Deforestasi_x_Luas_Perkebunan_Negara,Deforestasi_x_Luas_Perkebunan_Swasta,Rasio_Produktivitas_Rakyat_Swasta,Rasio_Produktivitas_Rakyat_Negara,Rasio_Produktivitas_Negara_Swasta,Total_Deforestasi,Total_Luas
10,JAWA TIMUR,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tidak Ada,Sedang,Tidak Ada,Tidak Produktif,JAWA,0,0,1,0,0,0,3.26,0.0,0.0,0.0,1.3,24,27,27,27,0.0,0.0,0.0,0.0,0.0,0.0,915.8,0
11,KALIMANTAN BARAT,486739,15579,1321156,54374,0.0298189061099856,0.111710793669708,3.4902111817189807,0.0411563812297715,0.0048691124743209,6.1240947435998505,26.69,0.85,72.45,Swasta,Sangat Tinggi,Besar,Rendah,KALIMANTAN,1,1,1,0,0,1,30.02,78.62,6.42,5.89,37.52,5,3,13,24,2369.72503,75.46895,6432.61815,2.714300682706748,0.0320068866476694,84.8036459336286,8878.7,1823474
12,KALIMANTAN SELATAN,88883,5553,361673,133799,0.2933487390075618,1.505338478674212,24.094903655681613,0.3699446737799061,0.0089899563481536,32.630718954248366,19.49,1.22,79.3,Swasta,Sedang,Besar,Rendah,KALIMANTAN,1,1,1,0,0,1,13.96,19.67,15.79,57.91,16.22,18,8,6,15,799.1679599999999,50.02488,3251.6172,4.069090827267306,0.0624753889945208,65.13110030614082,4100.4,456109
13,KALIMANTAN TENGAH,295775,0,1616751,847332,0.4430433886911864,2.8647857323979378,0.0,0.5240955471807347,0.0083942911102907,52.77913082476346,15.47,0.0,84.53,Swasta,Sangat Tinggi,Besar,Rendah,KALIMANTAN,1,1,1,1,0,1,54.14,82.46,100.0,87.46,76.39,3,2,1,4,2483.60021,0.0,13570.69979,5.466151635533768,0.0,0.0,16054.3,1912526
14,KALIMANTAN TIMUR,145085,10125,1035874,394415,0.3311395333998274,2.7185098390598617,38.95456790123457,0.3807557675933559,0.0161254789754542,20.535175042172565,12.18,0.85,86.97,Swasta,Sangat Tinggi,Besar,Rendah,KALIMANTAN,1,1,1,1,0,1,64.73,51.35,46.55,65.37,55.26,2,4,4,11,2339.38824,163.25779999999995,16704.15396,7.139773236378675,0.0697866767756832,102.30854320987656,19206.8,1191084
15,KALIMANTAN UTARA,28053,0,173753,62564,0.3100205147517913,2.230207107974192,0.0,0.3600743584283437,0.0260458063684925,11.902895628020245,13.9,0.0,86.1,Swasta,Tinggi,Sedang,Rendah,KALIMANTAN,1,1,1,1,0,1,17.85,8.7,7.38,61.2,11.96,14,12,12,12,730.6117999999999,0.0,4525.588199999999,6.193740419919439,0.0,0.0,5256.2,201806
16,KEPULAUAN BANGKA BELITUNG,64513,0,135093,88892,0.4453373145095838,1.3778928278021485,0.0,0.65800596626028,0.0283764015109766,15.693931957416003,32.32,0.0,67.68,Swasta,Tinggi,Sedang,Rendah,SUMATERA,1,1,1,1,0,1,19.22,8.61,10.49,87.91,13.42,13,13,10,2,1830.63712,0.0,3833.462880000001,2.094043061088463,0.0,0.0,5664.1,199606
17,KEPULAUAN RIAU,689,0,5738,2355,0.3664229033763809,3.41799709724238,0.0,0.4104217497385848,0.0593433950521238,6.174619821709491,10.72,0.0,89.28,Swasta,Rendah,Kecil,Rendah,SUMATERA,1,1,1,0,0,1,1.47,0.28,0.28,72.33,0.76,26,25,21,7,40.88608,0.0,340.51392,8.32801161103048,0.0,0.0,381.4,6427
18,LAMPUNG,92107,7849,78864,45974,0.2570965216418745,0.4991368734189584,5.857306663269206,0.5829529316291338,0.00119226037356,215.6378986866792,51.51,4.39,44.1,Rakyat,Rendah,Sedang,Rendah,SUMATERA,1,1,1,0,1,0,0.9,7.71,5.43,50.75,4.3,27,14,14,17,109.81932,9.359479999999998,94.0212,0.8562215683932817,0.0852161073534042,10.047649382086888,213.2,178820
19,MALUKU,354,0,9414,2083,0.2132473382473382,5.884180790960452,0.0,0.2212661992776715,0.0682330057330057,3.1252813203300827,3.62,0.0,96.38,Swasta,Sedang,Kecil,Rendah,MALUKU & PAPUA,1,1,1,0,0,1,2.42,0.42,0.25,42.1,1.17,25,24,23,19,24.1273,0.0,642.3727,26.59322033898305,0.0,0.0,666.5,9768
